"编号","类别","对象","公式/物理意义","dhx输入数据路径","dhx对照输出路径","PyQCD函数与输入参数","输出/范围","相对误差（L2：‖PyQCD−dhx‖₂/max(‖dhx‖₂,10^-300)）","状态","证据"
"L01","低层","EIG","φ_n(x)：低模空间/颜色基；供后续顶点构造。","/public/group/lqcd/eigensystem/beta6.20_mu-0.2770_ms-0.2400_L24x72/4150/eigvecs_t000_4150","无独立输出文件（低层参考公式）","readin_eigvecs(path,Nx=24)[:8]","(8,13824,3)；t=0；Nev1=8","0","通过","examples/pyqcd/cmp1/v202608291500_lowlevel/results.json"
"L02","低层","PHASE","e_p(x)=exp[−2πi p·x/Nx]；动量投影核。","参考公式；Nx=24","无独立输出文件（低层参考公式）","phase_exp_3pt(24,[0,0,1])","(13824,)；Pz=1","0","通过","examples/pyqcd/cmp1/v202608291500_lowlevel/results.json"
"L03","低层","VdV","V_mn=Σ_x e_p φ_m*φ_n；低模二体颜色/空间收缩。","/public/group/lqcd/eigensystem/beta6.20_mu-0.2770_ms-0.2400_L24x72/4150/eigvecs_t000_4150","无独立输出文件（低层参考公式）","phase_exp_2pt(24,[0,0,1]); Mom_VdV_sink_t(phase,eig)","(1,4,4)；Nev=4；Pz=1","1.309e-15","通过","examples/pyqcd/cmp1/v202608291500_lowlevel/results.json"
"L04","低层","VVV","V_mnl=Σ_x e_p ε_abc φ_m^aφ_n^bφ_l^c；三夸克颜色 singlet 顶点。","/public/group/lqcd/eigensystem/beta6.20_mu-0.2770_ms-0.2400_L24x72/4150/eigvecs_t000_4150","无独立输出文件（低层参考公式）","phase_exp_3pt(24,[0,0,1]); Mom_VVV_sink_t(phase,eig)[0]","(4,4,4)；Nev=4；Pz=1","4.746e-16","通过","examples/pyqcd/cmp1/v202608291500_lowlevel/results.json"
"L05","低层","Clover","F_μν=−i/8 Σ_C(P_μν−P_μν†)；局域胶子场强。","/public/group/lqcd/configurations/CLOVER/beta6.20_mu-0.2770_ms-0.2400_L24x72/beta6.20_mu-0.2770_ms-0.2400_L24x72_cfg_4150.lime","无独立输出文件（低层参考公式）","read_gauge_lime(path,Nt=2,Nx=24); plaquette_clover(gauge,μ,ν)","(4,4,2,24,24,24,3,3)；全(μ,ν)","2.447e-16","通过","examples/pyqcd/cmp1/v202608291500_lowlevel/results.json"
"L06","低层","dual","F̃_μν=1/2 ε_μνρσ F_ρσ；Euclidean 对偶场强。","/public/group/lqcd/configurations/CLOVER/beta6.20_mu-0.2770_ms-0.2400_L24x72/beta6.20_mu-0.2770_ms-0.2400_L24x72_cfg_4150.lime","无独立输出文件（低层参考公式）","compute_dual_field_strength(F_dict,μ,ν)；F_dict={(μ,ν):F_μν}","(4,4,2,24,24,24,3,3)","1.894e-16","通过","examples/pyqcd/cmp1/v202608291500_lowlevel/results.json"
"L07","低层","OPE","O_{μν;μ₂ν₂}(z)=Σ_x tr[F_μν(x+z d)W†F̃_μ₂ν₂(x)W]；非局部胶子 OPE。","/public/group/lqcd/configurations/CLOVER/beta6.20_mu-0.2770_ms-0.2400_L24x72/beta6.20_mu-0.2770_ms-0.2400_L24x72_cfg_4150.lime","无独立输出文件（低层参考公式）","gluon_ope_operator_z0(gauge,3,0,2,2,2,24,mu2=3,nu2=0,direction=1)；second_insert 默认 Ftilde","(2,2)；+z；z=0,1；t=0,1","1.361e-15","通过","examples/pyqcd/cmp1/v202608291500_lowlevel/results.json"
"H01","4D10 HYP–OPE","x:(1,2)","O^FF=Σ_x tr[F(x+z x̂)W†FW]；Δ⊥=0 直线胶子 OPE。","/public/group/lqcd/donghx/Hpysmear_beta6.20_mu-0.2770_ms-0.2400_L24x72/hpy_4D_10times_new/beta6.20_mu-0.2770_ms-0.2400_L24x72_cfg_4150.lime.contents/msg02.rec04.ildg-binary-data","/public/group/lqcd/donghx/Ope_Gluon/TMD_Ope_Gluon/Result/beta6.20_mu-0.2770_ms-0.2400_L24x72/xdir/4150/ops_mu1_nu2_zmax22_dx9_dy8_conf4150_new.npy","read_gauge_lime(HYP_RECORDS[""4d10""],72,24); gluon_ope_operator_z0(gauge,1,2,0,9,72,24,second_insert=""F"").T","(72,9)；Δz=9；d̂=x","3.288e-15","通过","examples/pyqcd/cmp1/v20260829_hyp_ope_xyz/results.json"
"H02","4D10 HYP–OPE","x:(3,1)","O^FF；Δ⊥=0；d̂=x。","/public/group/lqcd/donghx/Hpysmear_beta6.20_mu-0.2770_ms-0.2400_L24x72/hpy_4D_10times_new/beta6.20_mu-0.2770_ms-0.2400_L24x72_cfg_4150.lime.contents/msg02.rec04.ildg-binary-data","/public/group/lqcd/donghx/Ope_Gluon/TMD_Ope_Gluon/Result/beta6.20_mu-0.2770_ms-0.2400_L24x72/xdir/4150/ops_mu3_nu1_zmax22_dx9_dy8_conf4150_new.npy","gluon_ope_operator_z0(gauge,3,1,0,9,72,24,second_insert=""F"").T","(72,9)；Δz=9；d̂=x","3.287e-15","通过","examples/pyqcd/cmp1/v20260829_hyp_ope_xyz/results.json"
"H03","4D10 HYP–OPE","x:(3,2)","O^FF；Δ⊥=0；d̂=x。","/public/group/lqcd/donghx/Hpysmear_beta6.20_mu-0.2770_ms-0.2400_L24x72/hpy_4D_10times_new/beta6.20_mu-0.2770_ms-0.2400_L24x72_cfg_4150.lime.contents/msg02.rec04.ildg-binary-data","/public/group/lqcd/donghx/Ope_Gluon/TMD_Ope_Gluon/Result/beta6.20_mu-0.2770_ms-0.2400_L24x72/xdir/4150/ops_mu3_nu2_zmax22_dx9_dy8_conf4150_new.npy","gluon_ope_operator_z0(gauge,3,2,0,9,72,24,second_insert=""F"").T","(72,9)；Δz=9；d̂=x","3.292e-15","通过","examples/pyqcd/cmp1/v20260829_hyp_ope_xyz/results.json"
"H04","4D10 HYP–OPE","y:(2,0)","O^FF；Δ⊥=0；d̂=y。","/public/group/lqcd/donghx/Hpysmear_beta6.20_mu-0.2770_ms-0.2400_L24x72/hpy_4D_10times_new/beta6.20_mu-0.2770_ms-0.2400_L24x72_cfg_4150.lime.contents/msg02.rec04.ildg-binary-data","/public/group/lqcd/donghx/Ope_Gluon/TMD_Ope_Gluon/Result/beta6.20_mu-0.2770_ms-0.2400_L24x72/ydir/4150/ops_mu2_nu0_zmax22_dy9_dx8_conf4150_new.npy","gluon_ope_operator_z0(gauge,2,0,1,9,72,24,second_insert=""F"").T","(72,9)；Δz=9；d̂=y","3.293e-15","通过","examples/pyqcd/cmp1/v20260829_hyp_ope_xyz/results.json"
"H05","4D10 HYP–OPE","y:(3,0)","O^FF；Δ⊥=0；d̂=y。","/public/group/lqcd/donghx/Hpysmear_beta6.20_mu-0.2770_ms-0.2400_L24x72/hpy_4D_10times_new/beta6.20_mu-0.2770_ms-0.2400_L24x72_cfg_4150.lime.contents/msg02.rec04.ildg-binary-data","/public/group/lqcd/donghx/Ope_Gluon/TMD_Ope_Gluon/Result/beta6.20_mu-0.2770_ms-0.2400_L24x72/ydir/4150/ops_mu3_nu0_zmax22_dy9_dx8_conf4150_new.npy","gluon_ope_operator_z0(gauge,3,0,1,9,72,24,second_insert=""F"").T","(72,9)；Δz=9；d̂=y","3.294e-15","通过","examples/pyqcd/cmp1/v20260829_hyp_ope_xyz/results.json"
"H06","4D10 HYP–OPE","y:(3,2)","O^FF；Δ⊥=0；d̂=y。","/public/group/lqcd/donghx/Hpysmear_beta6.20_mu-0.2770_ms-0.2400_L24x72/hpy_4D_10times_new/beta6.20_mu-0.2770_ms-0.2400_L24x72_cfg_4150.lime.contents/msg02.rec04.ildg-binary-data","/public/group/lqcd/donghx/Ope_Gluon/TMD_Ope_Gluon/Result/beta6.20_mu-0.2770_ms-0.2400_L24x72/ydir/4150/ops_mu3_nu2_zmax22_dy9_dx8_conf4150_new.npy","gluon_ope_operator_z0(gauge,3,2,1,9,72,24,second_insert=""F"").T","(72,9)；Δz=9；d̂=y","3.304e-15","通过","examples/pyqcd/cmp1/v20260829_hyp_ope_xyz/results.json"
"H07","4D10 HYP–OPE","z:(0,1)","O^FF=Σ_x tr[F(x+z ẑ)W†FW]；Δ⊥=0 直线 OPE。","/public/group/lqcd/donghx/Hpysmear_beta6.20_mu-0.2770_ms-0.2400_L24x72/hpy_4D_10times_new/beta6.20_mu-0.2770_ms-0.2400_L24x72_cfg_4150.lime.contents/msg02.rec04.ildg-binary-data","/public/group/lqcd/donghx/Ope_Gluon/TMD_Ope_Gluon/Result/beta6.20_mu-0.2770_ms-0.2400_L24x72/zdir/4150/ops_mu0_nu1_dz12_dx5_conf4150.npy","gluon_ope_operator_z0(gauge,0,1,2,12,72,24,second_insert=""F"").T","(72,12)；Δz=12；d̂=z","7.340e-17","通过","examples/pyqcd/cmp1/v20260829_hyp_ope_xyz/results.json"
