========================================================================
  Summary Table: para1_n2_tsep6_9
  # para[model]_n[nex]_tsep[dt_start]_[dt_end]: model=参数个数, nex=两端移除数据的个数, dt_start/dt_end=拟合窗口
========================================================================
+----+-----------+----------+
| z  |     c0    | chi2/dof |
+----+-----------+----------+
| 0  | 0.563(13) |   3.7    |
| 1  | 0.531(12) |   3.4    |
| 2  | 0.449(11) |   2.6    |
| 3  |  0.343(9) |   1.7    |
| 4  |  0.240(8) |   1.3    |
| 5  |  0.156(7) |   1.4    |
| 6  |  0.095(7) |   1.7    |
| 7  |  0.054(6) |   1.7    |
| 8  |  0.028(6) |   1.7    |
| 9  |  0.012(6) |   1.7    |
| 10 |  0.004(5) |   1.8    |
| 11 |  0.000(5) |   2.1    |
| 12 | -0.001(5) |   2.5    |
| 13 | -0.000(5) |   2.9    |
| 14 |  0.001(4) |    3     |
| 15 |  0.001(4) |   2.8    |
| 16 |  0.002(4) |   2.4    |
| 17 |  0.002(4) |    2     |
| 18 |  0.001(4) |   1.8    |
| 19 |  0.001(4) |   1.6    |
| 20 |  0.000(4) |   1.5    |
| 21 |  0.000(4) |   1.5    |
| 22 |  0.000(4) |   1.9    |
| 23 |  0.000(4) |   2.4    |
+----+-----------+----------+
