========================================================================
  Summary Table: para1_n2_tsep4_7
  # para[model]_n[nex]_tsep[dt_start]_[dt_end]: model=参数个数, nex=两端移除数据的个数, dt_start/dt_end=拟合窗口
========================================================================
+----+------------+----------+
| z  |     c0     | chi2/dof |
+----+------------+----------+
| 0  | 0.161(79)  |  1e+02   |
| 1  | 0.135(76)  |    92    |
| 2  | 0.079(66)  |    71    |
| 3  | 0.027(54)  |    44    |
| 4  | 0.009(43)  |    23    |
| 5  | 0.016(37)  |    11    |
| 6  | 0.028(36)  |   5.9    |
| 7  | 0.042(38)  |   3.8    |
| 8  | 0.056(41)  |   3.1    |
| 9  | 0.068(43)  |   2.7    |
| 10 | 0.078(42)  |   2.3    |
| 11 | 0.082(40)  |   1.9    |
| 12 | 0.076(38)  |   1.6    |
| 13 | 0.061(38)  |   1.5    |
| 14 | 0.043(39)  |   1.4    |
| 15 | 0.026(40)  |   1.5    |
| 16 | 0.014(40)  |   1.7    |
| 17 | 0.005(38)  |    2     |
| 18 | -0.000(36) |   2.2    |
| 19 | -0.000(34) |   2.2    |
| 20 | 0.003(33)  |    2     |
| 21 | 0.006(33)  |   1.8    |
| 22 | 0.010(34)  |   1.7    |
| 23 | 0.014(34)  |   1.5    |
+----+------------+----------+
