========================================================================
  Summary Table: para3_n1_tsep2_7
  # para[model]_n[nex]_tsep[dt_start]_[dt_end]: model=参数个数, nex=两端移除数据的个数, dt_start/dt_end=拟合窗口
========================================================================
+----+------------+------------+------------+----------+
| z  |     c0     |     c1     |     dE     | chi2/dof |
+----+------------+------------+------------+----------+
| 0  | 0.671(79)  | -1.406(32) | 0.737(26)  |   1.9    |
| 1  | 0.630(76)  | -1.320(29) | 0.741(27)  |   1.9    |
| 2  | 0.519(66)  | -1.107(24) | 0.758(31)  |   1.9    |
| 3  | 0.374(54)  | -0.848(20) | 0.793(39)  |   1.9    |
| 4  | 0.242(44)  | -0.608(23) | 0.847(54)  |   1.8    |
| 5  | 0.152(39)  | -0.420(30) | 0.913(81)  |   1.6    |
| 6  | 0.104(38)  | -0.285(38) | 0.979(127) |   1.5    |
| 7  | 0.085(40)  | -0.194(44) | 1.025(186) |   1.7    |
| 8  | 0.083(43)  | -0.126(35) | 0.999(218) |   2.1    |
| 9  | 0.091(45)  | -0.079(22) | 0.891(216) |   2.2    |
| 10 | 0.099(45)  | -0.058(18) | 0.775(199) |    2     |
| 11 | 0.102(43)  | -0.052(18) | 0.707(184) |   1.6    |
| 12 | 0.096(40)  | -0.047(17) | 0.685(180) |   1.3    |
| 13 | 0.080(37)  | -0.040(16) | 0.695(187) |   1.2    |
| 14 | 0.059(35)  | -0.035(15) | 0.728(197) |   1.2    |
| 15 | 0.037(36)  | -0.031(15) | 0.803(207) |   1.5    |
| 16 | 0.015(38)  | -0.030(18) | 0.919(214) |    2     |
| 17 | 0.003(39)  | -0.031(22) | 1.012(222) |   2.5    |
| 18 | 0.004(38)  | -0.033(22) | 1.046(217) |   2.6    |
| 19 | 0.008(36)  | -0.033(22) | 1.038(221) |   2.3    |
| 20 | 0.007(35)  | -0.031(25) | 1.028(228) |   2.1    |
| 21 | -0.001(36) | -0.026(31) | 1.006(272) |   2.1    |
| 22 | -0.018(41) | -0.009(44) | 0.912(359) |   2.2    |
| 23 | -0.035(42) | 0.017(50)  | 0.729(397) |    2     |
+----+------------+------------+------------+----------+
