========================================================================
  Summary Table: para3_n1_tsep3_7
  # para[model]_n[nex]_tsep[dt_start]_[dt_end]: model=参数个数, nex=两端移除数据的个数, dt_start/dt_end=拟合窗口
========================================================================
+----+------------+-------------+------------+----------+
| z  |     c0     |      c1     |     dE     | chi2/dof |
+----+------------+-------------+------------+----------+
| 0  | 0.671(89)  | -1.441(133) | 0.745(66)  |   2.4    |
| 1  | 0.632(87)  | -1.354(134) | 0.748(71)  |   2.4    |
| 2  | 0.524(79)  | -1.139(140) | 0.762(86)  |   2.4    |
| 3  | 0.382(70)  | -0.888(159) | 0.797(119) |   2.4    |
| 4  | 0.249(62)  | -0.691(191) | 0.870(175) |   2.3    |
| 5  | 0.162(62)  | -0.551(210) | 0.963(254) |    2     |
| 6  | 0.132(77)  | -0.385(198) | 0.954(351) |   1.9    |
| 7  | 0.149(103) | -0.200(131) | 0.742(347) |   2.1    |
| 8  | 0.172(121) |  -0.129(91) | 0.590(270) |   2.4    |
| 9  | 0.170(125) |  -0.103(90) | 0.574(241) |   2.7    |
| 10 | 0.150(110) |  -0.089(85) | 0.630(246) |   2.5    |
| 11 | 0.127(89)  |  -0.092(95) | 0.728(268) |   2.1    |
| 12 | 0.107(75)  | -0.098(115) | 0.802(282) |   1.7    |
| 13 | 0.091(73)  | -0.082(107) | 0.793(268) |   1.5    |
| 14 | 0.077(75)  |  -0.059(82) | 0.742(237) |   1.6    |
| 15 | 0.060(75)  |  -0.038(61) | 0.697(195) |   1.9    |
| 16 | 0.036(69)  |  -0.016(48) | 0.676(152) |   2.4    |
| 17 | 0.012(60)  |  0.001(40)  | 0.675(127) |   2.6    |
| 18 | 0.001(55)  |  0.008(40)  | 0.673(131) |   2.5    |
| 19 | -0.002(53) |  0.009(41)  | 0.668(141) |   2.1    |
| 20 | -0.007(49) |  0.013(38)  | 0.660(150) |   1.7    |
| 21 | -0.014(48) |  0.022(36)  | 0.646(159) |   1.4    |
| 22 | -0.020(46) |  0.034(30)  | 0.638(156) |   1.4    |
| 23 | -0.023(46) |  0.044(27)  | 0.629(157) |   1.4    |
+----+------------+-------------+------------+----------+
